---,CardName,CardImage,CardDescription,BackgroundColor,Card Type,Card Effect
RPFK,"NSLOCTEXT(""[2B751598B25AD201ABA20831D19B683E]"", ""37A695F64CDA389388BFF3A11E983311"", ""Exchange"")","None","NSLOCTEXT(""[2B751598B25AD201ABA20831D19B683E]"", ""82E493FC43F0D806AA23A8BC6BDF23F2"", ""Trade 2 Cards with an Opponent"")","(R=0.000000,G=0.212325,B=1.000000,A=1.000000)","Action","None"
AUTH,"NSLOCTEXT(""[2B751598B25AD201ABA20831D19B683E]"", ""D27484AF4E64CDDA264F9AA25DF06B64"", ""Hawking Energy"")","None","NSLOCTEXT(""[2B751598B25AD201ABA20831D19B683E]"", ""C27F4F8E432D1D9415814DA1AF9833FD"", ""If you have no cards in hand or other objects, you may pass your turn as your action, unless the Ergosphere Engine is in play."")","(R=0.000000,G=1.000000,B=0.106110,A=1.000000)","Permanent","None"
JCAP,"NSLOCTEXT(""[2B751598B25AD201ABA20831D19B683E]"", ""E5DAED2945303A3F39DC1DBD23E372DC"", ""Deflector Shields"")","None","NSLOCTEXT(""[2B751598B25AD201ABA20831D19B683E]"", ""9999A41E4A1019717AFB0D85D408489B"", ""You may exempt yourself from Specials."")","(R=0.000000,G=1.000000,B=0.311921,A=1.000000)","Permanent","None"
INTR,"NSLOCTEXT(""[2B751598B25AD201ABA20831D19B683E]"", ""C564699E46E92FAC5D78B79AF9428B58"", ""Locate"")","None","NSLOCTEXT(""[2B751598B25AD201ABA20831D19B683E]"", ""FC8FFE2D422067D106C62CABB75EC058"", ""Name a card. The player with that card must reveal it."")","(R=0.000000,G=0.776149,B=1.000000,A=1.000000)","Action","None"
CNFR,"NSLOCTEXT(""[2B751598B25AD201ABA20831D19B683E]"", ""D07CDDE64A23844FB7EA6EB8057F1854"", ""Smart Matter"")","None","NSLOCTEXT(""[2B751598B25AD201ABA20831D19B683E]"", ""05A7A8CD45A34B5F188DA4B2AA44AC16"", ""Choose a player. Guess a card in their hand. If you\'re right, you play that card."")","(R=0.000000,G=0.641840,B=1.000000,A=1.000000)","Action","None"
GREE,"NSLOCTEXT(""[2B751598B25AD201ABA20831D19B683E]"", ""6E2BD3A345502DF837EFFDB035DF7FF5"", ""Reliquary"")","None","NSLOCTEXT(""[2B751598B25AD201ABA20831D19B683E]"", ""1F8211D04872080BA7B9229FEE8D871D"", ""Discard from play: Take an object in play or card from someone\'s hand. Put it in your hand."")","(R=0.000000,G=1.000000,B=0.948630,A=1.000000)","Permanent","None"
FDOO,"NSLOCTEXT(""[2B751598B25AD201ABA20831D19B683E]"", ""FB06F15241D589E478DF7B90E99AF214"", ""Feed the Void"")","None","NSLOCTEXT(""[2B751598B25AD201ABA20831D19B683E]"", ""8DC5DA6A470BB45C84DF61A722BBC022"", ""Discard an object from play. If there are no objects in play, discard a card from a hand instead."")","(R=0.000000,G=0.984086,B=1.000000,A=1.000000)","Action","None"
GVEL,"NSLOCTEXT(""[2B751598B25AD201ABA20831D19B683E]"", ""93378A66455EB0E8E4945B9C9BD7ED16"", ""Nullify"")","None","NSLOCTEXT(""[2B751598B25AD201ABA20831D19B683E]"", ""6E4CADE446DFB8EF47F11A9FAD5EE5DB"", ""Discard from play: Counter a card as it is played."")","(R=0.097143,G=1.000000,B=0.000000,A=1.000000)","Permanent","None"
ASSA,"NSLOCTEXT(""[2B751598B25AD201ABA20831D19B683E]"", ""50E825854020A8ED753E709953F5B497"", ""Relativistic Kill Missile"")","None","NSLOCTEXT(""[2B751598B25AD201ABA20831D19B683E]"", ""A2297E904A9B0139974785B222C15FF2"", ""Discard an object from play or at random from a player\'s hand. If the Ergoshpere Engine is in play, this card can only target it."")","(R=0.000000,G=1.000000,B=0.245830,A=1.000000)","Action","None"
BPRO,"NSLOCTEXT(""[2B751598B25AD201ABA20831D19B683E]"", ""72296394406905816DDBEFB9260C03BB"", ""Shield Engine"")","None","NSLOCTEXT(""[2B751598B25AD201ABA20831D19B683E]"", ""B7E641BC44EFA75576EC09801D1AC4DE"", ""If a player would discard or take the Ergosphere Engine, discard this card instead."")","(R=0.009047,G=1.000000,B=0.072751,A=1.000000)","Permanent","None"
